filename,klasse_fussstellung,klasse_fußauftritt,klasse_fussstellung_newangle
2_Joggen,Supination,Fersenlauf,Neutral
1_Laufen,Supination,Fersenlauf,Pronation
3_Gehen,Supination,Fersenlauf,Pronation
10_Gehen,Supination,Fersenlauf,Pronation
3_Joggen,Supination,Fersenlauf,Pronation
3_Laufen,Supination,Fersenlauf,Neutral
2_Laufen,Supination,Fersenlauf,Pronation
1_Joggen,Supination,Fersenlauf,Pronation
4_Laufen,Supination,Fersenlauf,Pronation
7_Joggen,Supination,Fersenlauf,Pronation
5_Laufen,Supination,Fersenlauf,Pronation
6_Joggen,Supination,Fersenlauf,Neutral
10_Joggen,Supination,Fersenlauf,Pronation
5_Joggen,Supination,Fersenlauf,Pronation
6_Laufen,Supination,Fersenlauf,Neutral
10_Laufen,Supination,Fersenlauf,Neutral
4_Joggen,Supination,Fersenlauf,Neutral
7_Laufen,Supination,Fersenlauf,Pronation
6_Gehen,Supination,Fersenlauf,Pronation
9_Joggen,Supination,Fersenlauf,Pronation
8_Joggen,Supination,Fersenlauf,Neutral
8_Laufen,Supination,Fersenlauf,Pronation
9_Laufen,Supination,Fersenlauf,Neutral
8_Gehen,Supination,Fersenlauf,Pronation
5_Gehen,Neutral,Fersenlauf,Pronation
9_Gehen,Supination,Fersenlauf,Pronation
4_Gehen,Supination,Fersenlauf,Pronation
7_Gehen,Supination,Fersenlauf,Pronation
1_Gehen,Neutral,Fersenlauf,Pronation
2_Gehen,Supination,Fersenlauf,Pronation
