filename,klasse_fussstellung_newangle
2_Joggen,Neutral
1_Laufen,Pronation
3_Gehen,Pronation
10_Gehen,Pronation
3_Joggen,Pronation
3_Laufen,Neutral
2_Laufen,Pronation
1_Joggen,Pronation
4_Laufen,Pronation
7_Joggen,Pronation
5_Laufen,Pronation
6_Joggen,Neutral
10_Joggen,Pronation
5_Joggen,Pronation
6_Laufen,Neutral
10_Laufen,Neutral
4_Joggen,Neutral
7_Laufen,Pronation
6_Gehen,Pronation
9_Joggen,Pronation
8_Joggen,Neutral
8_Laufen,Pronation
9_Laufen,Neutral
8_Gehen,Pronation
5_Gehen,Pronation
9_Gehen,Pronation
4_Gehen,Pronation
7_Gehen,Pronation
1_Gehen,Pronation
2_Gehen,Pronation
